Date,Description,Amount,Category
2024-11-15,Water Bill Cash,1146,Bills & Rent
2024-10-09,Doctor Visit Bill,1962,Health
2024-12-29,Doctor Visit,2834,Health
2024-10-02,House Rent Mar,25540,Bills & Rent
2024-10-15,Medical Store,1504,Shopping
2024-12-03,Doctor Visit Bill,2295,Health
2024-06-22,Electricity Bill,9252,Bills & Rent
2024-04-28,Grocery Store,6382,Shopping
2024-10-09,Medicine Purchase Mar,1905,Health
2024-05-17,Petrol Online,7215,Transport
2024-10-12,Family Outing,3642,Entertainment
2024-07-02,Lab Test,3941,Health
2024-01-29,Online Order Online,5697,Shopping
2024-12-09,Petrol,4437,Transport
2024-07-31,Office Lunch Jan,381,Food
2024-05-26,Grocery Store Monthly,7970,Shopping
2024-03-02,Rickshaw,234,Transport
2024-09-23,Office Lunch,456,Food
2024-02-22,University Fee,13922,Education
2024-07-07,Netflix,1254,Entertainment
2024-04-26,Fruit Vendor,425,Food
2024-12-11,Shoes,2046,Shopping
2024-03-27,Chai,101,Food
2024-10-01,Home Groceries Cash,4528,Food
2024-12-26,Rickshaw Monthly,295,Transport
2024-03-28,Stationery,956,Education
2024-03-31,Medicine Purchase,910,Health
2024-03-04,Netflix,1274,Entertainment
2024-08-29,House Rent,39570,Bills & Rent
2024-08-04,Milk Bill,239,Food
2024-09-18,Clothes Shopping,4701,Shopping
2024-08-06,Family Outing,2224,Entertainment
2024-11-19,Shoes Online,2373,Shopping
2024-08-06,Student Biryani Mar,242,Food
2024-03-31,Internet Bill,2173,Bills & Rent
2024-05-26,Medical Store Bill,573,Shopping
2024-04-10,Bykea Ride Mar,297,Transport
2024-10-23,Books Purchase Cash,1204,Education
2024-08-12,Internet Bill,2065,Bills & Rent
2024-10-06,Bus Ticket,68,Transport
2024-05-19,Doctor Visit Payment,2568,Health
2024-08-10,Grocery Store Cash,3394,Shopping
2024-05-03,House Rent,36866,Bills & Rent
2024-08-21,Family Dinner,2981,Food
2024-01-28,Clothes Shopping,2375,Shopping
2024-05-17,Clothes Shopping,4148,Shopping
2024-11-04,Stationery,396,Education
2024-10-14,Doctor Visit,2093,Health
2024-04-07,Family Dinner,1546,Food
2024-10-26,Netflix Jan,1243,Entertainment
2024-09-02,Student Biryani Monthly,317,Food
2024-10-09,Medicine Purchase,2997,Health
2024-05-05,Family Outing,2328,Entertainment
2024-04-06,Clothes Shopping,5602,Shopping
2024-01-15,Medical Store Feb,2093,Shopping
2024-06-29,Doctor Visit,2621,Health
2024-12-28,Water Bill,337,Bills & Rent
2024-04-29,Family Outing,2780,Entertainment
2024-04-12,Student Biryani Payment,280,Food
2024-05-20,Office Lunch,366,Food
2024-01-07,Netflix Bill,1075,Entertainment
2024-06-29,Family Outing,4114,Entertainment
2024-02-13,Lab Test Mar,3818,Health
2024-12-07,Bike Service Payment,1814,Transport
2024-06-29,Internet Bill,2763,Bills & Rent
2024-07-08,Internet Bill,2697,Bills & Rent
2024-08-20,Lab Test Jan,1147,Health
2024-03-12,Doctor Visit Payment,2188,Health
2024-10-26,University Fee,21959,Education
2024-11-16,Rickshaw,218,Transport
2024-01-16,Cinema Bill,757,Entertainment
2024-02-03,Lab Test,3567,Health
2024-01-08,House Rent,38143,Bills & Rent
2024-02-29,Bike Service Payment,1899,Transport
2024-06-10,Bike Service Cash,963,Transport
2024-04-13,Shoes,4199,Shopping
2024-03-31,Bike Service,1007,Transport
2024-10-22,House Rent,40347,Bills & Rent
2024-09-26,Gas Bill,1455,Bills & Rent
2024-10-29,Doctor Visit,1988,Health
2024-03-23,Office Lunch,454,Food
2024-04-20,Doctor Visit Online,2530,Health
2024-08-17,Gas Bill,1564,Bills & Rent
2024-10-06,Lab Test,1827,Health
2024-04-11,Mobile Package,1495,Bills & Rent
2024-01-25,Stationery Cash,584,Education
2024-04-03,Lab Test,2444,Health
2024-01-24,Milk Cash,293,Food
2024-09-07,House Rent,23236,Bills & Rent
2024-08-14,Home Groceries,3515,Food
2024-11-27,Netflix,947,Entertainment
2024-09-28,Lab Test,1317,Health
2024-03-08,Books Purchase,1890,Education
2024-04-03,Online Order,2361,Shopping
2024-12-11,Clothes Shopping,3753,Shopping
2024-04-16,Petrol,5406,Transport
2024-05-16,University Fee,19740,Education
2024-08-18,Mobile Package,1293,Bills & Rent
2024-09-10,Fruit Vendor Jan,759,Food
2024-03-13,Mobile Package Cash,1250,Bills & Rent
2024-09-17,Lab Test Online,3772,Health
2024-08-24,Netflix,1207,Entertainment
2024-05-22,Stationery,734,Education
2024-05-17,Cinema,942,Entertainment
2024-02-03,Lab Test,3488,Health
2024-05-13,Fruit Vendor,492,Food
2024-10-23,Bike Service,1152,Transport
2024-02-03,Electricity Bill Online,5634,Bills & Rent
2024-04-07,Student Biryani,299,Food
2024-08-17,Clothes Shopping Monthly,2681,Shopping
2024-10-15,Student Biryani,201,Food
2024-08-12,Family Outing Payment,2524,Entertainment
2024-11-08,Books Purchase,1792,Education
2024-11-25,Water Bill,1423,Bills & Rent
2024-02-29,Books Purchase Payment,1578,Education
2024-04-29,Stationery Jan,675,Education
2024-10-04,Family Outing,3457,Entertainment
2024-10-12,Medicine Purchase,2044,Health
2024-12-30,Medicine Purchase Monthly,2861,Health
2024-09-10,Doctor Visit,2315,Health
2024-03-15,Family Dinner,1228,Food
2024-01-04,Cinema,910,Entertainment
2024-07-31,Internet Bill,3434,Bills & Rent
2024-11-16,Doctor Visit,1083,Health
2024-04-12,Books Purchase,1699,Education
2024-05-02,Medicine Purchase,1855,Health
2024-06-10,University Fee,21329,Education
2024-02-15,Clothes Shopping,5831,Shopping
2024-03-05,Clothes Shopping,3746,Shopping
2024-01-25,Books Purchase,1776,Education
2024-12-25,Chai,123,Food
2024-10-18,Mobile Package,1047,Bills & Rent
2024-04-21,Student Biryani,337,Food
2024-09-07,Netflix,1042,Entertainment
2024-07-26,Books Purchase,1490,Education
2024-06-19,Online Order,4155,Shopping
2024-08-16,Milk Payment,253,Food
2024-06-22,Clothes Shopping,2228,Shopping
2024-11-15,Family Dinner,2006,Food
2024-05-20,Fruit Vendor,779,Food
2024-11-13,Petrol,7735,Transport
2024-08-31,University Fee,22039,Education
2024-01-27,Medicine Purchase,1135,Health
2024-04-30,Netflix,1172,Entertainment
2024-07-12,Family Dinner,1640,Food
2024-01-18,Doctor Visit,888,Health
2024-01-04,University Fee,24127,Education
2024-11-14,Lab Test Payment,1265,Health
2024-10-10,Electricity Bill,6572,Bills & Rent
2024-05-20,Water Bill,1037,Bills & Rent
2024-02-07,Family Dinner Cash,1748,Food
2024-03-01,Medicine Purchase Online,1450,Health
2024-11-07,Shoes,2031,Shopping
2024-06-25,Electricity Bill Online,8397,Bills & Rent
2024-06-19,Bike Service,1574,Transport
2024-12-06,Medicine Purchase,1945,Health
2024-11-19,Student Biryani,249,Food
2024-10-31,Family Outing,3524,Entertainment
2024-05-02,Netflix,1104,Entertainment
2024-08-13,Bykea Ride,149,Transport
2024-01-06,House Rent,44888,Bills & Rent
2024-09-02,Petrol Feb,4757,Transport
2024-09-24,Doctor Visit,2023,Health
2024-09-28,Gas Bill,1173,Bills & Rent
2024-04-03,Gas Bill,645,Bills & Rent
2024-03-03,Online Order,5594,Shopping
2024-01-25,Online Order,1282,Shopping
2024-03-04,Books Purchase,2228,Education
2024-11-07,Cinema Cash,1230,Entertainment
2024-07-21,Electricity Bill,8930,Bills & Rent
2024-06-26,Lab Test,2367,Health
2024-11-02,Clothes Shopping Mar,5753,Shopping
2024-10-30,Petrol,3985,Transport
2024-01-20,Bus Ticket,76,Transport
2024-10-03,Medicine Purchase,1190,Health
2024-04-24,Doctor Visit,1283,Health
2024-02-26,Medical Store Monthly,2738,Shopping
2024-01-16,Electricity Bill,5028,Bills & Rent
2024-01-13,Water Bill Online,1407,Bills & Rent
2024-02-20,Home Groceries,5553,Food
2024-02-26,Medicine Purchase,741,Health
2024-03-12,Lab Test Monthly,2248,Health
2024-05-23,Gas Bill Mar,1062,Bills & Rent
2024-12-26,Doctor Visit,2805,Health
2024-12-12,Student Biryani,317,Food
2024-09-06,University Fee,20640,Education
2024-02-28,Home Groceries Bill,4525,Food
2024-10-16,University Fee,12689,Education
2024-01-22,University Fee,12350,Education
2024-10-12,Gas Bill,738,Bills & Rent
2024-09-26,Family Outing,3306,Entertainment
2024-12-26,Books Purchase,2463,Education
2024-12-24,Rickshaw,267,Transport
2024-03-11,Family Outing,1848,Entertainment
2024-09-30,Bus Ticket,113,Transport
2024-01-18,University Fee Cash,20828,Education
2024-06-22,Bus Ticket,87,Transport
2024-10-05,University Fee Mar,9075,Education
2024-05-31,Student Biryani,344,Food
2024-03-20,Office Lunch,416,Food
2024-12-17,Netflix Jan,964,Entertainment
2024-06-09,Medicine Purchase,2689,Health
2024-06-25,Family Outing Mar,2410,Entertainment
2024-01-26,Electricity Bill Payment,9111,Bills & Rent
2024-04-22,Grocery Store,2862,Shopping
2024-09-07,Books Purchase Monthly,2684,Education
2024-02-22,Lab Test Payment,2297,Health
2024-07-27,Medicine Purchase Monthly,2613,Health
2024-12-13,Cinema Mar,987,Entertainment
2024-10-30,Chai,68,Food
2024-06-26,Stationery Jan,349,Education
2024-06-08,Petrol Bill,4907,Transport
2024-07-27,House Rent,35895,Bills & Rent
2024-01-20,Medical Store,3441,Shopping
2024-07-06,Doctor Visit,821,Health
2024-04-12,Student Biryani Payment,335,Food
2024-06-05,Stationery,1007,Education
2024-02-07,Family Outing,2879,Entertainment
2024-09-07,Medicine Purchase,2427,Health
2024-07-30,Stationery,1037,Education
2024-04-16,Mobile Package,641,Bills & Rent
2024-04-15,Electricity Bill Jan,6314,Bills & Rent
2024-01-21,Medicine Purchase Online,2572,Health
2024-10-22,Books Purchase,2346,Education
2024-11-23,Office Lunch,466,Food
2024-10-28,Student Biryani,249,Food
2024-06-04,Books Purchase Mar,1620,Education
2024-12-22,Internet Bill Cash,3884,Bills & Rent
2024-09-17,Clothes Shopping,3085,Shopping
2024-01-24,Doctor Visit,801,Health
2024-12-05,Doctor Visit,1401,Health
2024-01-17,Cinema,791,Entertainment
2024-09-06,Rickshaw,107,Transport
2024-12-15,Family Outing,3312,Entertainment
2024-05-19,Office Lunch,317,Food
2024-01-21,Office Lunch,441,Food
2024-04-12,Grocery Store Monthly,7873,Shopping
2024-08-24,Mobile Package Monthly,979,Bills & Rent
2024-03-14,Family Outing,2582,Entertainment
2024-04-12,University Fee,15134,Education
2024-07-21,Lab Test,1356,Health
2024-09-19,House Rent,21329,Bills & Rent
2024-02-27,Cinema,1338,Entertainment
2024-02-12,Doctor Visit,960,Health
2024-07-17,Office Lunch,415,Food
2024-12-18,Clothes Shopping,4603,Shopping
2024-08-19,Doctor Visit Online,1514,Health
2024-01-17,Lab Test Feb,3728,Health
2024-02-02,Bus Ticket,100,Transport
2024-11-20,Office Lunch,321,Food
2024-07-24,Petrol Monthly,5277,Transport
2024-04-20,Office Lunch,349,Food
2024-03-19,Doctor Visit Online,1123,Health
2024-01-07,Water Bill Feb,1370,Bills & Rent
2024-01-26,Stationery Monthly,975,Education
2024-01-15,Petrol Mar,7664,Transport
2024-04-29,Electricity Bill Mar,11034,Bills & Rent
2024-07-07,Doctor Visit Feb,2835,Health
2024-01-26,Online Order,5427,Shopping
2024-11-02,Gas Bill,1486,Bills & Rent
2024-07-19,Water Bill,943,Bills & Rent
2024-07-23,Mobile Package Online,1418,Bills & Rent
2024-05-03,Lab Test,1838,Health
2024-02-11,Bykea Ride,176,Transport
2024-01-14,Family Outing Bill,4059,Entertainment
2024-04-30,Bike Service Payment,1463,Transport
2024-07-09,Lab Test,2634,Health
2024-08-09,Bike Service,1746,Transport
2024-10-31,Gas Bill,667,Bills & Rent
2024-08-15,University Fee Monthly,23893,Education
2024-08-06,Gas Bill Feb,1362,Bills & Rent
2024-11-16,Petrol Bill,4902,Transport
2024-05-10,Medicine Purchase,2437,Health
2024-01-06,Family Outing Bill,3986,Entertainment
2024-12-09,Stationery,319,Education
2024-09-11,Bykea Ride,290,Transport
2024-02-26,Books Purchase,898,Education
2024-02-23,Bus Ticket,111,Transport
2024-01-21,Doctor Visit,852,Health
2024-06-18,Stationery,533,Education
2024-04-12,Medicine Purchase Mar,1035,Health
